model,resolution,run,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,precision,recall,f1_score,top_2_accuracy,top_3_accuracy,log_loss,roc_auc_macro,roc_auc_weighted,roc_auc
resnet50,224,1,0.599523242,0.688218735,0.563115741,0.646141112,0.688218735,0.599523242,0.594740457,0.609012363,0.646141112,0.599523242,0.609012363,0.800953516,0.891537545,1.119054901,0.899081332,0.860995481,0.860995481
resnet50,128,1,0.490430622,0.608509605,0.424309028,0.614278362,0.608509605,0.490430622,0.463660011,0.514241091,0.614278362,0.490430622,0.514241091,0.71291866,0.842105263,1.38482571,0.836787153,0.817115297,0.817115297
resnet50,64,1,0.430082256,0.47362333,0.407866613,0.59302169,0.47362333,0.430082256,0.396216187,0.455439191,0.59302169,0.430082256,0.455439191,0.67920094,0.80493537,1.430903805,0.787134283,0.793122643,0.793122643
resnet50,32,1,0.403846154,0.492813285,0.351859355,0.573068575,0.492813285,0.403846154,0.364478148,0.423509593,0.573068575,0.403846154,0.423509593,0.629807692,0.762019231,1.568574109,0.815309578,0.773387714,0.773387714
mobilenetv2,224,1,0.567342074,0.551237706,0.485188265,0.597137765,0.551237706,0.567342074,0.500233735,0.573829568,0.597137765,0.567342074,0.573829568,0.773539928,0.878426698,1.19530126,0.873565902,0.821691038,0.821691038
mobilenetv2,128,1,0.355263158,0.255151065,0.231991139,0.463121277,0.255151065,0.355263158,0.221545733,0.376817684,0.463121277,0.355263158,0.376817684,0.54784689,0.7284689,1.911677459,0.731876606,0.686185062,0.686185062
mobilenetv2,64,1,0.291421857,0.313984759,0.228124884,0.46732053,0.313984759,0.291421857,0.222810855,0.319531648,0.46732053,0.291421857,0.319531648,0.485311398,0.667450059,1.850273726,0.714798871,0.661511302,0.661511302
mobilenetv2,32,1,0.283653846,0.152749709,0.129657569,0.304472377,0.152749709,0.283653846,0.119589374,0.269186152,0.304472377,0.283653846,0.269186152,0.527644231,0.695913462,1.776640972,0.585817979,0.55667334,0.55667334
efficientnetb0,224,1,0.500595948,0.493592164,0.432210209,0.57518861,0.493592164,0.500595948,0.434054131,0.512240389,0.57518861,0.500595948,0.512240389,0.722288439,0.858164482,1.282638581,0.851485533,0.813436558,0.813436558
efficientnetb0,128,1,0.364832536,0.458620325,0.333096122,0.568336386,0.458620325,0.364832536,0.329622234,0.388991679,0.568336386,0.364832536,0.388991679,0.534688995,0.64354067,1.777087689,0.781792024,0.748969682,0.748969682
efficientnetb0,64,1,0.419506463,0.480906813,0.374761608,0.584461586,0.480906813,0.419506463,0.380742031,0.437948354,0.584461586,0.419506463,0.437948354,0.619271445,0.75440658,1.5508715,0.790756423,0.764080405,0.764080405
efficientnetb0,32,1,0.313701923,0.468263759,0.28134844,0.517183682,0.468263759,0.313701923,0.269190504,0.340926053,0.517183682,0.313701923,0.340926053,0.501201923,0.658653846,1.757859016,0.762145412,0.706702213,0.706702213
